text,clean,개인지칭,기타혐오,성별,성소수자,악플욕설,연령,인종국적,종교,지역
절라디언 놈들 태세 전환하는 거 보소 걔네들 통수 치는 게 일상이노 노무딱 절라디언 습성이노,0,0,0,0,0,0,0,0,0,1
지잡대 나왔나봄 ㅋㅋㅋ  왜 열폭하고 그러세요 ;,0,0,1,0,0,0,0,0,0,0
냄새 오지게 나네 버거놈들,0,0,0,0,0,0,0,1,0,0
나도 송해 아저씨처럼 아흔 넘어도 정정하면 좋겠다.,1,1,0,0,0,0,0,0,0,0
쟤 진짜 게이같다. 목소리도 얇고 머리도 기르고 왜저러고 사냐 남자가. 쪽팔리게,0,0,0,0,1,0,0,0,0,0
하여간 지방 촌놈들은 꼭 티를 낸다니까,0,0,0,0,0,0,0,0,0,1
"장애충들 오늘 길막고 시위하는거 봄, 재수없음 누가 그런 장애 가지고 태어나랬나 왜 불편하게 하는지 모르겠음",0,0,1,0,0,1,0,0,0,0
홍대에는 왜이렇게 머리짧고 털털한 여자들이 많은지 레즈천국인가,0,0,0,0,1,0,0,0,0,0
부엌에 들어가서 떨어질 ㄱㅊ면 애초에 없는 게 낫지 않냐,0,0,0,1,0,0,0,0,0,0
여자는 25살 넘으면 끝이지 뭐ㅋㅋ,0,0,0,1,0,0,0,0,0,0
아 우리전무님 진짜 개틀딱 중국집가서 나는짜장면외칠사람,0,0,0,0,0,0,1,0,0,0
눈이 너무 졸린 눈 같아서 개인적으론 별로...,1,0,0,0,0,0,0,0,0,0
여성이 무거운 것을 들 때 도와달라고 하는 것은 여성 특권이 아닌 성별에 따른 차이를 인정하는 관점을 가지고 남성으로서 마땅히 도와줘야 합니다,1,0,0,0,0,0,0,0,0,0
성별로 차별하지 않으면 좋겠어요.,1,0,0,0,0,0,0,0,0,0
서울 사람은 다 얼굴도 하얗고 잘생기고 이쁩니다,0,0,0,0,0,0,0,0,0,1
충청도가 고향이세요?,1,0,0,0,0,0,0,0,0,0
공대 나온 애들이 취업 잘 하드라,1,0,0,0,0,0,0,0,0,0
내 친구 중국인이라 말할 때 시끄러워,0,0,0,0,0,0,0,1,0,0
인종차별은 그 어떤 경우에서도 절대 허용 되어서 안된다.,1,0,0,0,0,0,0,0,0,0
요즘 유행하는 캡사이신 범벅된 음식들 극혐,1,0,0,0,0,0,0,0,0,0
여자 팀장님들은 그 조건을 되게 까다롭게 보더라,1,0,0,0,0,0,0,0,0,0
저희 회사에도 남직원들 기겁할 정도로 힘 센 여자분 계시는데 진짜 남자형제 없는 집안에서 자란 여자분이 어찌 저렇게 힘이 세냐며 다들 감탄했음,0,0,0,1,0,0,0,0,0,0
