text,clean,개인지칭,기타혐오,성별,성소수자,악플욕설,연령,인종국적,종교,지역
마라탕 같은걸 왜 먹는지 모르겠네. 대체 맛이라는걸 모르는건가....,0,0,1,0,0,0,0,0,0,0
나는 다 좋아해,1,0,0,0,0,0,0,0,0,0
하루종일 먹고있는 우리 딸 보면 그만먹어 란는 말을 안 할수 없다는...,1,0,0,0,0,0,0,0,0,0
장애인들은 특별한 대우를 바라지 않아. 그냥 비장애인처럼 대해주길 바라고 있어.,1,0,0,0,0,0,0,0,0,0
비건이시면 치즈도 못먹는 건가요?,1,0,0,0,0,0,0,0,0,0
생긴게 너무 없이 생기지 않았나 싶다.,0,0,1,0,0,1,0,0,0,0
전문대애들 중에 안 골빈 애들은 없음.,0,0,1,0,0,0,0,0,0,0
남자가 왜 저렇게 비실거려,0,0,0,1,0,0,0,0,0,0
응 다음 배리나~ 너같은 쿵쾅이는 사절~,0,1,1,0,0,0,0,0,0,0
솔직히 중경외시 + 국공립대 아니면 취업이 많이 힘들긴하지,0,0,1,0,0,0,0,0,0,0
연예인이면 기본적으로 피부관리 좀 해라. 그게 니 일인데 너무 일 안하네.,0,0,1,0,0,0,0,0,0,0
공돌이면 이정도 코딩은 껌이겠다,0,0,1,0,0,0,0,0,0,0
진짜 틀딱들은 틀니 압수하기 전에 그냥 가만히 있어 줘.,0,0,0,0,0,0,1,0,0,0
전라도에 가서 삭힌 홍어 먹었는데 냄새가 심하긴해도 맛은 있더라,1,0,0,0,0,0,0,0,0,0
베지테리언들은 얼마나 건강히 오래살고싶은거냐 노이해,0,0,1,0,0,0,0,0,0,0
오늘 지나가다가 좀 이쁘장한 남자분에게 게이라며 조롱하는걸 봤어요. 기분이 안좋더군요.,1,0,0,0,0,0,0,0,0,0
고졸주제에 나한테 왜 훈계질이지ㅡㅡ,0,0,1,0,0,0,0,0,0,0
기사없으면 제발 나대며 다니지말고 집에서 밥이나해라 김여사님들아,0,0,0,1,0,0,0,0,0,0
다리가 짧아서 철심 박아야겠다,0,0,1,0,0,0,0,0,0,0
깜둥이야? 그냥 쏴버려,0,0,0,0,0,0,0,1,0,0
