text,clean,개인지칭,기타혐오,성별,성소수자,악플욕설,연령,인종국적,종교,지역
"같이 강의 듣는 존잘인 선배가 있다고 했잖아 ㅋㅋ 그 선배 친구가 그러는뎈ㅋ
여친이 없는 이유가 ㅋㅋㅋㅋ 작아서 AAA 건전지만 해서 그런 거래. 완전 깬다",0,0,0,1,0,0,0,0,0,0
남자가 집에서 살림이나 하고 자존심도 없냐?,0,0,0,1,0,0,0,0,0,0
남자인 너는 키가 작고 몸은 가얄프고 혼자서 꾸미는것을 좋아하는걸 보니 여성적인것 같아 보여,0,0,0,1,0,0,0,0,0,0
왜 이렇게 깨작깨작 먹는거야 밥맛 떨어지게,0,0,0,0,0,1,0,0,0,0
채식주의자들은 전부 위선자야,0,0,1,0,0,0,0,0,0,0
운동한다면서 안하는 거 보면 의지박약에 해봤자 작심삼일이겠네 그리고 사실 빼봤자 나아질 것 같진 않은데 굳이 노력할 필요 있음?,0,0,0,0,0,0,0,0,0,0
우리 대리님도 남자인데 향수에 엄청 관심이 많아 (결혼함 오해할까봐 ㅋ) 그래서 향수 고르거나 선물해야하거나 할때 꼭 물어봄 실패확률 0% ㅋㅋ,1,0,0,0,0,0,0,0,0,0
여자는 요리도 잘 하고 아기도 잘 돌봐야하고 조신하고 얌전하게 말 잘 들어야한다 안그럼 늙어서 손가락질 당한다,0,0,0,1,0,0,0,0,0,0
머리에 피도않마른 젊은놈이 간도크게 이런일을해!,0,0,0,0,0,1,1,0,0,0
문과새끼들이 뭘 아냐 집에서 국어책이나 읽으면서 백수생활이나 즐기세요~,0,0,1,0,0,1,0,0,0,0
남자가 전구도 못 가냐? 이런 걸 여자인 내가 해야겠어?,0,0,0,1,0,0,0,0,0,0
충청도는 멍청도라고 하더니 그 말이 딱 맞네. 일 하는 거 보면 하는 짓이 딱 충청도 사람이네. 아휴 답답해.,0,0,0,0,0,0,0,0,0,1
지하철 임산부석에 앉는애들 거의 한남임. 미개한 것들,0,0,0,1,0,0,0,0,0,0
야 누가 저년 정조대좀 채워라.,0,0,0,1,0,1,0,0,0,0
지하철 적자 누적을 이유로 경로우대제를 폐지하자는 의견이 나오고 있다. 경로우대제도는 1980년 70세 이상 노인을 대상으로 철도와 지하철 요금을 50% 할인해 주는 것으로 시작되었다가 1982년부터는 65세 이상으로 연령이 낮춰져 지금까지 이어져 오고 있다. 경로우대제를 폐지하기 보다는 처음처럼 70세 이상으로 하는 것이 좋지 않을까 생각한다.,1,0,0,0,0,0,0,0,0,0
와 이 상황에서 술 빼는 건 인성 무슨 일?,0,0,0,0,0,0,0,0,0,0
피싸개들이 뭘알겠노,0,0,0,1,0,0,0,0,0,0
군대도 안가면서 여자들은 뭐하냐,0,0,0,1,0,0,0,0,0,0
그리 오래 회사일을 했으면서 아는것도 없네. 윗사람이 저러니 회사가 잘 돌아가나,0,0,0,0,0,0,0,0,0,0
여자가 조신하지 못하게 뭐하는거야,0,0,0,1,0,0,0,0,0,0
전라도 사투리 쓰면 나는 그냥 거르고 봄 ㅇㅇ이게 현명함,0,0,0,0,0,0,0,0,0,1
요즘 젊은 사람들은 확실히 생각하는게 다른듯,1,0,0,0,0,0,0,0,0,0
와 몸매 죽이네 허벅지만 조금 빼면 될듯?,0,0,1,0,0,0,0,0,0,0
아 감자국에 지하철 안생기나 너무 불편하네,0,0,0,0,0,0,0,0,0,1
대가리 존나크네,0,0,1,0,0,1,0,0,0,0
남자가 공구도 없어서 고작 그걸로 철물점 기사를 불렀던 거야?,0,0,0,1,0,0,0,0,0,0
섬숭이들 올림픽한다고 발광하더니 쌤통이누ㅋㅋ,0,0,0,0,0,0,0,1,0,0
이번 선거에 페미 시장 뽑는 사람 있냐,0,0,0,1,0,0,0,0,0,0
남자는 다 늑대야.,0,0,0,1,0,0,0,0,0,0
개념남이라면 더치페이스는 기본이죠. 요즘 가꾸는 남자가 인기라죠? 키 180도 안넘으면 그게 남자인가요 ㅎ,0,0,0,1,0,0,0,0,0,0
아 저새끼 하는 꼬라지보면 진짜 존나 병신같아서 보는 내가 암걸릴거 같음 ㅅㅂ,0,0,0,0,0,1,0,0,0,0
페미와 동성애는 정신병이다,0,0,0,1,1,0,0,0,0,0
웅~ 햰냼은 소비 안할거야 냄져새끼들이 하는 짓이라곤 맨날 범죄 저지르기~,0,0,0,1,0,0,0,0,0,0
고졸이라더니 못배운 티를 너무 낸다.,0,0,1,0,0,0,0,0,0,0
김치녀들이 다 그렇지 죽어도 지잘못은없대 김치년이냐?,0,0,0,1,0,0,0,0,0,0
고졸이라고? 그러면 씨바 나보다 연차 높다고 존댓말 했는데 개짜증나,0,0,1,0,0,0,0,0,0,0
집에서 담배냄새 나는거 보니까 이 집은 남자집인가봐,0,0,0,1,0,0,0,0,0,0
남자는 주방에 가면 고추 떨어짐,0,0,0,1,0,0,0,0,0,0
호모나 이게 뭐야,0,0,0,0,1,0,0,0,0,0
아프고 싶어서 아픈 것도 아닌데 아픈거 가지고 뭐라 할 것은 아니라고 봄,1,0,0,0,0,0,0,0,0,0
"여자들은 로맨스, 남자들은 액션영화에 환장하지",0,0,0,1,0,0,0,0,0,0
"여자가 애를 낳았음 들어가서 애나 키우고 살림이나 할 일이지. 뭘 얻어 먹겠다고 나와서 설치는지.
여자들이 그렇게 한자리씩 차지하고 앉았으니 가장이 되어야할 남자들이 들어가 일할 데가 없는거 아닙니까. 참 나... ",0,0,0,1,0,0,0,0,0,0
야 저놈 벨트 맨날 차고다니는 이유가 혹시 밤에 쓸려고 그러는거냐?,0,0,0,0,0,1,0,0,0,0
예쁜 여자들은 보통 백치미가 있지,0,0,0,1,0,0,0,0,0,0
페미니스트라고 말하고 다니는 사람 중에 제대로 된 년 못 봤다.,0,0,0,1,0,0,0,0,0,0
"니 머리엔 뭐가 들어서 그런소리밖에 못하냐, 뇌사수준이네 ㅉㅉ 너같은 새끼가  정상적인 사회생활이 가능하냐",0,0,0,0,0,0,0,0,0,0
짱개들 아침부터 돌먹음?,0,0,0,0,0,0,0,1,0,0
연영과 요새도 제 2의 군대 소리 들을 만큼 똥군기 잡냐,0,0,1,0,0,0,0,0,0,0
살면서 운전 잘하는 여자 하나도 못봄,0,0,0,1,0,0,0,0,0,0
나이핑계로 노약자석에 앉고싶어서 다들 난리난 노망난분들 너무 많음 다른나라들처럼 우리나라도 나이많은 사람들 대중교통 요금받아야되는거아님?,0,0,0,0,0,0,1,0,0,0
여자가 집에서 조신하게 있지 왜 밖에 싸돌아 댕겨서 성폭행을 당하냐고 ㅅㅂ 지들이 안나가면 당할일도 없잖아,0,0,0,1,0,0,0,0,0,0
어린놈이 너무 아는척해도 보기 좋지 않다,0,0,0,0,0,0,1,0,0,0
게이 새끼들은 잠재적 에이즈 보균자. 더러븐 넘들,0,0,0,0,1,0,0,0,0,0
여자가 머리가 왜 짧냐 남자냐?,0,0,0,1,0,0,0,0,0,0
여자가 왜 밖에서 사고를 치고 지랄,0,0,0,1,0,1,0,0,0,0
얼굴에 약간의 시술은 해야할듯,1,0,0,0,0,0,0,0,0,0
근데 여자가 저런 곳에서 기계 만지는 일 한다고 누가 알아주냐 솔직히,0,0,0,1,0,0,0,0,0,0
아니 남자가 남자를 좋아하든 여자를 좋아하든 그게 님들이 왜 상관할 일임?,1,0,0,0,0,0,0,0,0,0
여자인데 공간활용능력이 대박이다 저런 사람이 건축학가면 건물 진짜로 잘 지을듯,0,0,0,1,0,0,0,0,0,0
한남 한남 운운하길래 어떤 상판일까 봤더니 보기만 해도 욕나오는 얼굴이네. 한남거리는 애들치고 짐승이 아닌 정상적인 사람의 얼굴을 내 지금껏 본적이 없다.,0,0,0,1,0,1,0,0,0,0
지방일수록 유행이 더디오는거같음 서울에서 유행지났는데 아랫지방 가보면 뒤늦게 유행타는 경우 꾀나 봄,0,0,0,0,0,0,0,0,0,1
껌둥이들  니그로는 인간적으로 대접하면 안돼!,0,0,0,0,0,0,0,1,0,0
페미니스트 지지하는 남자들 다 여자한테 흑심 품고 지성인인척 깨어있는 척 하는 거 잖아 ㅋㅋ 깨어있어 보이는 본인에 심취해있는거 존웃,0,0,0,1,0,0,0,0,0,0
사랑에는 다양한 모양이 있다고 생각해. 네가 게이이면 어때? 결국 넌지금 널 사랑해줄 사람을 찾았잖아.,1,0,0,0,0,0,0,0,0,0
"백인, 흑인, 아시아인 다 똑같은 사람인데 왜 인종차별을 해?",1,0,0,0,0,0,0,0,0,0
사람이 꼭 고기를 먹어야만 살 수 있는 건 아니야,1,0,0,0,0,0,0,0,0,0
으 짱깨새끼들은 다 지네들꺼라고 하네 그러면서 코로나는 왜 니들꺼 아니라 하냐,0,0,0,0,0,0,0,1,0,0
나는 서울에서 태어나서그런가 사투리 구분을 못하겠던데 ㅋㅋ,1,0,0,0,0,0,0,0,0,0
솔까 머리 기르는 남자들 이해안됨,0,0,0,1,0,0,0,0,0,0
짱개놈들 단체로 기억상실이냐 너네가 김치 불매했던 거 기억안남?,0,0,0,0,0,0,0,1,0,0
쟤들은 남자애들이라 거칠게 놀아,0,0,0,1,0,0,0,0,0,0
진짜 운전은 남자들이 잘하는 거같긴함 친구들타는것만봐도 여자차 남자차 승차감부터가 다름,0,0,0,1,0,0,0,0,0,0
얘들아 경상도 남자는 남자들 중에서도 진짜 찐이다 ㅋ 제발 만나지 마라,0,0,0,0,0,0,0,0,0,1
한국어 너무 잘하세요!,1,0,0,0,0,0,0,0,0,0
채식주의자들은 자기들이 몬가 대단한 일 하는거 같나봐. 다 위선자야,0,0,1,0,0,0,0,0,0,0
여성분 너무 예쁘신데 가슴이 조금만 더 크면 좋을 것 같...(쿨럭,0,0,0,1,0,1,0,0,0,0
경상도 종자들은 죄다 친일파 앞잡이,0,0,0,0,0,0,0,0,0,1
그래도 우리 동네엔 특수학교는 반대에요 ㅠㅠ,1,0,0,0,0,0,0,0,0,0
남자가 덜떨어진게 사실아님?,0,0,0,1,0,0,0,0,0,0
솔직히 우리나라 놀러오는 외국인들 다들 꺼려하긴 하잖아.,1,0,0,0,0,0,0,0,0,0
몸이 애자인가 하나같이 안어울려 아오,0,0,0,1,0,1,0,0,0,0
여자는 다 남자 하나 잘 잡아서 취집이나 할려고 하지.,0,0,0,1,0,0,0,0,0,0
여자가 집에서 밥이나 하지 왜 밖에 나와서 운전을 해서 길을 막고 그래,0,0,0,1,0,0,0,0,0,0
히틀러는 유대인이 아니라 중국인을 죽였어야 했다.,0,1,0,0,0,0,0,1,0,0
남자들은 밖에서 일을 해야 돼요. 집에 있으면 삼식이 돼요.,0,0,0,1,0,0,0,0,0,0
고추달고 그러고도 니가 남자냐,0,0,0,1,0,0,0,0,0,0
어디에나 튀는 사람들은 있는 거잖아,1,0,0,0,0,0,0,0,0,0
대한민국 한남들은 답이없다,0,0,0,1,0,0,0,0,0,0
"남자새끼가 무슨 화장이냐 진짜 토나오니까 화장좀 하지마
생긴게 그쪽인거같긴한데 길에서 만나면 개때리고 싶어진다. 진짜로",0,0,0,1,1,0,0,0,0,0
여자라는 자각은 있는거냐? 그렇게 다 보라고 벌리고 다니면서 왜 남자탓이야!!,0,0,0,1,0,0,0,0,0,0
여자들은 역시.. 너무 례민하다,0,0,0,1,0,0,0,0,0,0
남자가 말만 많고 그것도 못해?,0,0,0,1,0,0,0,0,0,0
