text,clean,개인지칭,기타혐오,성별,성소수자,악플욕설,연령,인종국적,종교,지역
호모나게이뭐야,0,0,0,0,1,0,0,0,0,0
남자가 핑크색 코트를 입다니...게이같아,0,0,0,1,1,0,0,0,0,0
중국이 중국한 일이네.,0,0,0,0,0,0,0,1,0,0
눈병신인가 그걸 못보게,0,0,0,0,0,1,0,0,0,0
어제 만난 흑인친구 이름이뭐더라,1,0,0,0,0,0,0,0,0,0
논바이너리라는 애들은 자기가 뭔 성별인지는 알고 있나?? 남자면 남자 여자면 여자지 무슨 그 사이에 뭔 성별이 있다고 그 지랄인지. 어쨌든 민증엔 남자 아님 여자로 나올텐데 뭘 인정해달라는거야. 그런 성별까지 다 인정해주면 도대체 화장실이 몇개여야하는거야. 그런 이야기 하는 거 다 이기적인 새끼들이 징징대는걸로밖에 안보임.,0,0,0,0,1,0,0,0,0,0
50대 60대 틀딱들 매너없고 고집센건 알아줘야지~나이 쳐먹엇으면 나잇값을 해야 어른 대접을 해줄거 아니냐~,0,0,0,0,0,0,1,0,0,0
역시 나처럼 박사님 정도 되는 사람끼리는 통한다니까,1,0,0,0,0,0,0,0,0,0
전라도 사투리도 미디어에 많이 비추었음 좋겠다 맨날 건달로만 나옴,1,0,0,0,0,0,0,0,0,0
게이나 레즈같은 애들이랑 어울리기 싫음 더러워,0,0,0,0,1,0,0,0,0,0
동성애는 죄악이다,0,0,0,0,1,0,0,0,0,0
쩝쩝이들 화장실 가서 쳐 묵으라,0,0,0,0,0,1,0,0,0,0
너 여자 말고 남자 좋아하지? 호모 변태새끼야,0,0,0,0,1,0,0,0,0,0
서양사람들은 동양 사람들 보단 대체적으로 키가 크네,0,0,0,0,0,0,0,1,0,0
살 빠진 것 보다 찐 게 나은 듯.,1,0,0,0,0,0,0,0,0,0
형냐도 아니고 무슨 남자가 스키니에 화장까지 떡칠했어,0,0,0,0,1,0,0,0,0,0
이젠 지들 자식에게도 채식 강요하네 쿵쾅이들같이 생긴 페미들아 니네 애들이 불쌍하다,0,0,1,0,0,0,0,0,0,0
여성스러운 남자는 게이라는 생각 너무 후져,0,0,0,0,1,0,0,0,0,0
"아 게이새끼, 니 부모도 그러냐?",0,0,0,0,1,1,0,0,0,0
무슨 성 정체성이 저렇게 많냐 다 외우긴함? ㅋㅋㅋㅋ 그냥 지 뇌속에 있는거 아무거나 가져다 대면 성정체성이냐? ㅋㅋ 저런애들은 부모잘못이야 어릴때 교육을 뭣같이 시킨거지,0,0,0,0,1,0,0,0,0,0
편한 차림으로 오라고 해서 트레이닝복으로 입고 회사 출근하는 건 뭐지?,1,0,0,0,0,0,0,0,0,0
부산에 국밥이 그렇게 맛있다며,1,0,0,0,0,0,0,0,0,0
호모같은 놈들,0,0,0,0,1,0,0,0,0,0
