text,clean,개인지칭,기타혐오,성별,성소수자,악플욕설,연령,인종국적,종교,지역
부산에 사는 친척집에 놀러가면 말을 가끔 못알아들을 때가 있어요. 사투리라서 라기보다 특유의 악센트가 있는데 아직 익숙해지지 않아서 그런것 같아요.,1,0,0,0,0,0,0,0,0,0
신입이 그런 소릴 하다니 말세다 말세,0,0,0,0,0,0,1,0,0,0
와 뱃살 좀 봐 운동한 거 맞음? 구라 아님?,0,0,1,0,0,1,0,0,0,0
흠 나이 많다고 다 어른은 아닌던데,1,0,0,0,0,0,0,0,0,0
라면을 먹을때는 역시 김치와 함께 먹어야 맛있다.,1,0,0,0,0,0,0,0,0,0
쟤 또 단발병도졌나 ㅋㅋ 단발한다고 고준희되는거아니다,0,1,0,0,0,1,0,0,0,0
"MZ세대 MZ세대 하는데, 쟤네들은 너무 개인주의가 강한거같음 저렇게 회사생활하는게 가능한가",0,0,0,0,0,0,1,0,0,0
백인들을 제외한 동양인이나 흑인들은 그들에게 늘 피해의식에 쩔어 있는 것 같아.뭐만 하면 차별이라고 지껄여 대고.,0,0,0,0,0,0,0,1,0,0
"상추에 쌈장만 넣고 쌈 싸먹는데, 고기 없이 뭔 맛으로 먹냐는 친구 말이 생각나네.",1,0,0,0,0,0,0,0,0,0
요즘 젊은 사람들은 확실히 생각하는게 다른듯,1,0,0,0,0,0,0,0,0,0
일베충들 썩다 꺼져라,0,0,1,0,0,0,0,0,0,0
"아 존나 답답해. 암 걸릴 것 같어
",0,0,0,0,0,1,0,0,0,0
와 오늘 지하철 ㅈㄴ 막혔는데 이유가 뭔지 앎? 휠체어 어쩌구 협회에서 지하철에 엘레베이터 놔달라고 그런거였음. 그래서 시위로 휠체어타고 지하철 이용하는거 했는데 몇십개의 휠체어가 타고 내리려니까 정차시간 존나 오래걸려서 지연 오지게 된거였음. 지하철이 30분이 지나도 안 오는거야. 결국 1시간 넘게 기다리다가 걍 택시타고 왔다... 아니 시발 시위를 그따구로 하니까 동정표도 못 얻지... 역에 사람도 존나 많은데 진짜 혼돈 그 자체였음,0,0,1,0,0,1,0,0,0,0
예전에 광주 가봤는데 좀 많이 낙후되있더라,0,0,0,0,0,0,0,0,0,1
휠체어만타면 뭐 전부 다 장애인이냐?,1,0,0,0,0,0,0,0,0,0
확실히 가방 끈이 길어서 그런지 생각하는게 깊고 남 배려도 잘하더라 말도 조리있게 조곤조곤 잘함.,1,0,0,0,0,0,0,0,0,0
와 뱃살 출렁거리는 거 보소 님 솔직히 지금 모습 딱 도태녀같아요,0,0,1,1,0,1,0,0,0,0
거지같은 새끼가 지랄 하고 자빠졌지,0,0,0,0,0,1,0,0,0,0
세월을 직빵으로 쳐 맞았나 세월이 오면 좀 피하고 그래라,0,0,1,0,0,1,0,0,0,0
저렇게 생기면 면접에서 떨어질 상이다.,0,0,0,0,0,1,0,0,0,0
