text,clean,개인지칭,기타혐오,성별,성소수자,악플욕설,연령,인종국적,종교,지역
몸 아프신게 벼슬은 아닌잖아 너무과해,1,0,0,0,0,0,0,0,0,0
나이도 어린것 같은데 어따대고 따박따박 말대답인지 모르겠네요? 저 사람 몇살이에요?,0,0,0,0,0,1,1,0,0,0
븅신 이런것도 모르냐 이건 상식이야 새꺄,0,0,0,0,0,1,0,0,0,0
병신새끼야 본문을 똑바로 읽어.,0,0,0,0,0,1,0,0,0,0
나이도 어린게 자꾸 이래라 저래라 훈계질이노,0,0,0,0,0,0,1,0,0,0
진짜 메이크업이랑 조명때문에 하얗게 보이는거지 메이크업 지우고 쌩얼 보면 진짜 구라 안치고 흑인급으로 새까맣던데 뭔 소리임 ㅋㅋ 저걸 하얀 피부 아이돌이라고 팬들이 빨아주는게 웃기다,0,0,0,0,0,1,0,1,0,0
미개한 니그로들 노예나되라.,0,0,0,0,0,1,0,1,0,0
비건 존나 이기적인 새끼들임. 나가서 잔디나 뽑아먹지 왜 고기뷔페와서 고기 먹으라말라 개지랄이야. 식물도 생명인데 식물은 왜먹냐 시발.,0,0,1,0,0,1,0,0,0,0
1년차 신입따리가 존나 나대네...,0,0,0,0,0,0,1,0,0,0
꼴랑 20살 먹고 바락바락 대들다니 싹수가 노랗네 진짜,0,0,0,0,0,0,1,0,0,0
어린 것들이 뭘 안다고 자꾸 말을 얹냐.,0,0,0,0,0,0,1,0,0,0
나이 많다고 꼰대질 하는 사람들 보면 별볼일 없는 것들이 대부분이더라,0,0,0,0,0,0,1,0,0,0
머리에 피도 안마른게 어디서 말대꾸야.,0,0,0,0,0,1,1,0,0,0
"MZ세대 MZ세대 하는데, 쟤네들은 너무 개인주의가 강한거같음 저렇게 회사생활하는게 가능한가",0,0,0,0,0,0,1,0,0,0
하 꼰대새끼들 진짜 처먹이지를 말던가,0,0,0,0,0,0,1,0,0,0
하 노인네 틀딱 새끼들 그냥 싹다 뒤졌으면 좋곗네 안그래도 인구수 많아서 세상이 망해간디 싹다 뒤졌으면,0,0,0,0,0,0,1,0,0,0
어린게 엄청 아는척 하더니 잘됐다.,0,0,0,0,0,0,1,0,0,0
나이 쳐 먹고 그 따위로 사니까 겨우 배달이나 하는거야,0,0,0,0,0,0,0,0,0,0
우리 회사에도 일하는 흑인분 계셔,1,0,0,0,0,0,0,0,0,0
역시 거기 사는 사람들 수준 알만하다. 태생이 그래서 어쩔수 없음,0,0,0,0,0,0,0,0,0,1
깜둥이 새끼들이 여기와서 지랄이냐,0,0,0,0,0,0,0,1,0,0
이빨 보고 딱 영국사람인줄 알았음.,0,0,0,0,0,0,0,1,0,0
요즘애들은 언어능력 딸려서 말도 잘 못하고 다 장애있다고 해도 되는거 아님?,0,0,1,0,0,0,1,0,0,0
진짜 미친년 아니냐.. 저렇게 예쁘게 생긴 애를 어떻게 버릴수가 있음..,0,0,0,0,0,1,0,0,0,0
