text,clean,개인지칭,기타혐오,성별,성소수자,악플욕설,연령,인종국적,종교,지역
차라리 성형을 해라,0,0,0,0,0,1,0,0,0,0
솔직히 살 못빼고 뚱뚱한건 게으른거 아님?,0,0,1,0,0,0,0,0,0,0
"지난번엔 쪽바리 새끼, 이번엔 짱깨 새끼 아주 양옆에서 지랄들이구만",0,0,0,0,0,0,0,1,0,0
"고기를 기르기 위한 사육 방식도 잔혹하고, 고기를 식탁에 올리기까지 환경 문제도 날이 갈수록 심각해지는데 그걸 생각하면 
진짜 육식하는 인간들은 다 죽는게 답임. 채식만 해도 충분히 사는데 지 배에 기름칠 하겠다고 그러는 거 보면 진짜 인간은 이기적인 존재야 ㅋㅋ",0,0,1,0,0,0,0,0,0,0
오크녀들은 지들 얼굴 생각도 못하고 남들이 좀만 이뻐도 열폭 쩌네 예쁜 애들 발끝도 못 따라가면서,0,0,1,0,0,1,0,0,0,0
"쪽바리,짱개라고 비하하지만 가장 열등한 존재는 조센징들이 탑 그러니 주권 뺏기는게 이상한 일이 아님 ^^",0,0,0,0,0,0,0,1,0,0
저 나이에 결혼도 못하고 불쌍하다.,1,0,0,0,0,0,0,0,0,0
다른 식습관이라고 해도 가끔은 맞춰야하는 상황도 잇는데 예의가 없었네요. 그러면 주변분들이 좀 힘들죠ㅠㅠ 저런것은 가르칠수도 없구..,1,0,0,0,0,0,0,0,0,0
나이가 많고 연차가 오래됐다고 무조건 꼰대로 보는건 문제가 있어,1,0,0,0,0,0,0,0,0,0
정치인들이 하는짓이 다그렇지 ㅉㅉ,0,0,1,0,0,0,0,0,0,0
서있을때 니 발가락은 보이냐 극강돼지새꺄,0,0,1,0,0,1,0,0,0,0
이놈의 미세먼지 짜증나 다 중국때문  중국은 없어져야지 다른 나라가 피해안봄,0,0,0,0,0,0,0,1,0,0
"짱개는 걍 주기적으로 패주고, 좆본은 개무시가 답
",0,0,0,0,0,0,0,1,0,0
서울 사람들은 다 깍쟁이 같아.,0,0,0,0,0,0,0,0,0,1
애기들아 형님은 학교가려면 2~3시간은 걸어서 가야했단다. 스쿨버스가 어딨어 내 두 다리가 버스지,0,0,0,0,0,0,1,0,0,0
"저 집은 식재료를 유기농만 산다고 하더라. 과자, 라면도. 너무 유별나지 않아?",1,0,0,0,0,0,0,0,0,0
진짜 메이크업이랑 조명때문에 하얗게 보이는거지 메이크업 지우고 쌩얼 보면 진짜 구라 안치고 흑인급으로 새까맣던데 뭔 소리임 ㅋㅋ 저걸 하얀 피부 아이돌이라고 팬들이 빨아주는게 웃기다,0,0,0,0,0,1,0,1,0,0
아프리카 계 사람들은 운동 신경이 좋은 것 같아.,0,0,0,0,0,0,0,1,0,0
근데 진짜 미국사람들 몸에서 치즈 꼬린내 많이 나요?,0,0,0,0,0,0,0,1,0,0
황인종은 다리도 짧고 힘도 약하고 뭐 하나 잘하는게 없네,0,0,0,0,0,0,0,1,0,0
와 모델같애 저세상 비율이네 쩐다 쩔어,1,0,0,0,0,0,0,0,0,0
농어촌우대전형은 농업이나 어업에 관계되는 대학에서만 해줘야하는 거 아닌가?,1,0,0,0,0,0,0,0,0,0
유럽 사람들 일 처리하는거 보면 진짜 개답답해 뭘 문의하면 답변 오는데 기본 일주일은 걸림,0,0,0,0,0,0,0,1,0,0
경남 밀양 놈들은 죄다 강간범으로 보면 되지 않을까?,0,0,0,0,0,0,0,0,0,1
쪽바리놈들은 역시 음습함이 종특인 듯,0,0,0,0,0,0,0,1,0,0
장애를 가진 사람에 대한 언어사용과 시선이 참 애매하면서도 어려워요 그쵸? 여러분은 어떻게 대처하시나요 이런상황,1,0,0,0,0,0,0,0,0,0
술 먹고 토하다 뒤져봐라,0,0,0,0,0,1,0,0,0,0
제발 짱깨 쪽바리들은 한반도 인생에서 좀 꺼져줬으면,0,0,0,0,0,0,0,1,0,0
"뭐 걸핏하면 중국사람들은 뭐든지 자기네 거라고 하고, 암튼 뭐든지 우기면 끝이라니까.",0,0,0,0,0,0,0,1,0,0
저렇게 생겨가지고 연예인 해먹겠나. 다른 애들처럼 좀 고쳐야 되는거 아니야? 아니면 피부관리라도 좀 받던지. 아우 피부 더러운거 봐,0,0,0,0,0,1,0,0,0,0
