문장,성소수자,인종국적,연령,지역,종교,기타혐오,악플욕설,clean,개인지칭,성별
그러면 좆국이 웜련들의 보지놀이터가 될 것이다.,0,1,0,0,0,0,0,0,0,1
자세히좀써라 자칭 전문직이라는 게이가 글이 이게 뭐냐?인상찌푸려지네,0,0,0,0,0,0,1,0,0,0
말없이 진료만 하는 의사 out,0,0,0,0,0,0,1,0,0,0
정말이지 이 나라가 뭔가를 하긴하는데.. 왜이리 속는 기분일까나 누구를 위한 우쭈쭈우쭈쭈 뒤에  보이지 않는 거대한 재갈장전,0,0,0,0,0,0,0,1,0,0
세상에 여자들 상대로 장사하면서 여자 까는 심보는 뭐노?,0,0,0,0,0,0,1,0,0,0
똥꼬충이노ㅋㅋㅋㅋㅋ,1,0,0,0,0,0,0,0,0,0
아니 시발 불체자새끼들을 왜 ㅡㅡ,0,1,0,0,0,0,0,0,0,0
어려서부터보고 배운 그들만의성문화라서,0,0,0,0,0,0,0,1,0,0
퍄 ㅋㅋㅋ꾸러기노,0,0,0,0,0,0,0,1,0,0
"진짜 가지가지한다. 여자는 치마, 남자는 바지 이게 자연스러운 그림인걸 왜 자꾸 우겨대냐",0,0,0,0,0,0,0,0,0,1
저 117위 드립은 누가 만든건지... 쟤들이 말하는 페미니즘은 여성우월이죠 군인이랑 경찰 자리도 반씩 내놓으라는데 할말이 없음,0,0,0,0,0,0,0,0,0,1
노래 좃같아요,0,0,0,0,0,0,1,0,0,0
지역 어디냐 인천은 아니지? 인천맘충이 꼭 그지랄 떨더라,0,0,0,1,0,0,0,0,0,1
알았노 일단 지금은 잠 좀 자고 내일 일어나서 이미지 박제 열심히 해놓겠노,0,0,0,0,0,0,0,1,0,0
서검사님..말씀이 옳습니다~,0,0,0,0,0,0,0,1,0,0
과메기 맛있지~~ ㅋㅋ 어차피 판매하는것들은 다 냉동 된거임 ㅋㅋㅋㅋㅋㅋ 다 작년꺼 파는거 ㅋㅋ,0,0,0,0,0,0,0,1,0,0
존나 추억돋네 된장녀 ㅋㅋㅋㅋㅋㅋㅋ 요즘은 김치녀 한녀 이래서,0,0,0,0,0,0,0,0,0,1
아하 고맙다이기 지금 알아보는중인데 들어가보니 불법이라고 다 삭제된쀼젤. . 한번더갔다와야겠노 광광,0,0,0,0,0,0,0,1,0,0
오늘부터 갓대중 센세라고 불러라.,0,0,0,0,0,0,0,1,0,0
이건 교육당국문제가 아니여,0,0,0,0,0,0,0,1,0,0
고담대구 마지막 스테이지인가.,0,0,0,1,0,0,0,0,0,0
아들도 연루된건 아닌지 조사해봐야죠죠죠,0,0,0,0,0,0,0,1,0,0
쌀국 아이티계에 한남 많노? 아이티계라 한남 많을까봐 망설여지노,0,0,0,0,0,0,0,0,0,1
아주 파블로프의 개처럼 반응하네,0,0,0,0,0,0,1,0,0,0
손톱은 이쁘네.,0,0,0,0,0,0,0,1,0,0
풉킥 얌전히 도태될것이지 발광하노. 마 빻은 와꾸,0,0,0,0,0,0,1,0,0,0
전부다 에이즈로 죽어버리면남은여자들 다내꺼임 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,0,0,0,0,0,0,0,0,0
"저분 최소 ""힙(Hip)합(合) 목사""- 벌겋게 달아오른 십자가로 스님의 순결한 염주구멍을 꿰어버렸소..",0,0,0,0,1,0,0,0,0,0
둘이 결혼할듯,0,0,0,0,0,0,0,1,0,0
콘서트 끝나면 영상 전체 다운 받아놔야 겠다.,0,0,0,0,0,0,0,1,0,0
둘이 전쟁해서 인구 1/10로 줄면 좋겠당,0,0,0,0,0,0,0,1,0,0
동성애를 둘러싼 가짜 인권이 난무합니다 ㅠ,1,0,0,0,0,0,0,0,0,0
ㅋㅋ31처럼 제육볶음같은 상황도 발생하고 예를들어 중국집가서 요리하나 나눠먹을때도 그렇다 웜련들은 비교적 좋은환경에서 지내는것 같아 다행이노ㅋㅋ,0,0,0,0,0,0,0,1,0,0
냄져들 다 백치아다다에 글 읽기 쓰기 개빻았는데 무슨 작가질? 군대 힘 다 바질때까지 짱박아두고 노예처럼 쓰는게 답,0,0,0,0,0,0,0,0,0,1
알바도 근무 시간에 저러다간 잘리는 곳이 수두룩 한데사스가 내놔국의 후손은 목이 티타늄 합금인가 잘리지도 않네,0,0,0,0,0,0,1,0,0,0
한남은 진짜 재기가 답이다,0,0,0,0,0,0,0,0,0,1
벌레로 중요부위 가린건 첨보네,0,0,0,0,0,0,0,1,0,0
2012년이면 썩은물인데아이디 샀나봄,0,0,0,0,0,0,0,1,0,0
관잦묻었노 ^느^ 너련주변 자댕이들 다폐암으로 뒤지노 애비는 무병단수,0,0,0,0,0,0,0,0,0,1
"기도합니다 이또한, 잘 되어지길.. 기대합니다 잘 세워지길..",0,0,0,0,0,0,0,1,0,0
내 사촌동생 지방 사는데 모의고사 영어60에 반에서 일등이다 참고로 시럽계아니다 인문개다. 근데 농어촌전형으로 대학 쉽게 갈수있음 ^오^,0,0,0,0,0,0,0,1,0,0
난 오줌싸고 꼬츄 휴지로 닦음,0,0,0,0,0,0,0,1,0,0
ㅇㅇ 맞아 그리고 폐지줍는거 보다 덜힘들고 수익 그나마 나아 댓글 하나당 20원 게시물은50원,0,0,0,0,0,0,0,1,0,0
중동권에 가면 오체불만족 아시안 창녀들이 많다는데 트루?,0,1,0,0,0,0,0,0,0,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ신박하네,0,0,0,0,0,0,0,1,0,0
남자들 책 안 읽는 거 티 내네 베스트셀러 글에 좋아요 좀 눌렀다고 이렇게 화낼 일이냐ㅋㅋㅋ,0,0,0,0,0,0,0,0,0,1
아니 시발킹도 있고 맘도 있는데 왜 지랄인지 모르겠다버거퀸이 있으면 '버거는 여자만 만들라는 건가요??'맘스터치 있으니 '음식은 여자가 만들어야 한다는 성역할을 강요하는거 아닌가요?'뭘 해도 자기 뜻대로 해석가능한 기적의 논리 ㅋㅋ,0,0,0,0,0,0,0,0,0,1
저런것도 마누라랍시고 설거지 결혼한 유부충 한남들이 선택한 결과임.누구를 원망할것도 없음,0,0,0,0,0,0,0,0,0,1
맨날 좌음으로 온다이기,0,0,0,0,0,0,0,1,0,0
저런건 배워야된다,0,0,0,0,0,0,0,1,0,0
범죄자들 도피처가 목사 전도사 되는길. 신원조회하면 전과자비율이 제일 높은 직업군이 개신교일거다,0,0,0,0,1,0,0,0,0,0
화이팅이다 씨발련들,0,0,0,0,0,0,1,0,0,0
흑마술사는 ㅇㅊ,0,0,0,0,0,0,0,1,0,0
잘했어씨발 개독예수쟁이들은 다 처맞아야해아물논 정상적으로 기도하시는 분들 예외,0,0,0,0,1,0,0,0,0,0
틀딱새끼들 톡방주작하냐?,0,0,1,0,0,0,0,0,0,0
아니 시발 내가 지금 재취업을 못하고 있는데 개씨팔 난민새끼들이 어디서..,0,1,0,0,0,0,0,0,0,0
이 작성자님은...메모가 되있는 분인데.. 요즘 왔다갔다 하시네... 노선을 확실하게 하세요,0,0,0,0,0,0,0,1,0,0
김치년들 성형할꺼면 저래하든가 무슨 씨발 사진 찍어도 나오는? 또렷한 이목구비?? 이딴걸 고료해서 좆병신 자발적 성괴되고 있어 미친년들,0,0,0,0,0,0,0,0,0,1
짱깨에 의존하는 경제는 그래서 없애야됨,0,1,0,0,0,0,0,0,0,0
여자80퍼센트 뽑는날 와야 하노,0,0,0,0,0,0,0,1,0,0
짤 ㅅㅌㅊ,0,0,0,0,0,0,0,1,0,0
한남똥꼬충은 댕청해서 안됨ㅋ,0,0,0,0,0,0,0,0,0,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ브금,0,0,0,0,0,0,1,0,0,0
제발진짜 제발 보냈으면 좋겠다제발이다 제발,0,0,0,0,0,0,0,1,0,0
목사가 저러니 저런목사로부터 가르침을 받는 신도들은 안봐도 비디오다.,0,0,0,0,1,0,0,0,0,0
저 새끼들은 학습능력이없나,0,0,0,0,0,0,1,0,0,0
건강한 예배 회복을 위해 함께 기도하겠습니다~,0,0,0,0,0,0,0,1,0,0
나 핵교다닐때 저거 나눠만주고 나중에 안쓴다고 2주만에 걷어감,0,0,0,0,0,0,0,1,0,0
커뮤도 하고 웜도 해라 봊대로 해라이기,0,0,0,0,0,0,0,1,0,0
20일 서한이 이제 공개되는 이유는 누군가가 SK케미컬 주식을 샀기때문인가,0,0,0,0,0,0,0,1,0,0
기다리던 놈이 나타나 정답을 주노,0,0,0,0,0,0,0,1,0,0
"vloopup, pivot, macro도 다 하는 엑셀충인데 f4는 첨 들어본다 ㅋㅋ 이게 머라고?",0,0,0,0,0,0,0,1,0,0
한남들은 외국에서 학부졸업했으면 거기서 정착할 여건도 충분히 되지않노 ?? 유학파로 인정받고싶어서 굳이 기어들어온다 하지만 보지들은 집의 지원도 없이 워홀나가서 외국에서 박사함,0,0,0,0,0,0,0,0,0,1
노렸노존나 웃기네 ㅋㅋㅋ,0,0,0,0,0,0,0,1,0,0
굳이 여자화장실 쓰고 싶어서 안달난것 봐라 역겨운 젠신병자 새끼들; 범죄자새끼들 뒤져,1,0,0,0,0,1,0,0,0,0
웜련 되어있길래 그래 내가 웜련이다! 하고 머피소 가입했었노 낄낄,0,0,0,0,0,0,0,1,0,0
미신은 섬기는 귀신의 종류가 무엇이든 간에 미신에 현혹되지 않을 정도로 이성적이고 합리적인 이 세상의 모든 선량한 인류들에게 고통과 피해만을 안겨주는 정신병이고 암덩어리와도 같다 칼로 도려내 불태워야 마땅함,0,0,0,0,1,0,0,0,0,0
헐 우리 마누라 닮았는데;;,0,0,0,0,0,0,0,1,0,0
감사합니다 진정으로 대한민국의 미래를 생각해주시는 의원님이네요ㅜㅜ 응원하겠습니다,0,0,0,0,0,0,0,1,0,0
참 별... ㅡㅡ,0,0,0,0,0,0,0,1,0,0
"세금도 안내는것들이, 나랏돈은 젤많이 축네네~ 그것도%~하나님팔이로",0,0,0,0,1,0,0,0,0,0
저것들 뭐냐 대체.,0,0,0,0,0,0,1,0,0,0
전라도에 저런 경찰이 있다니 믿을수 없다. 거긴 섬인데,0,0,0,1,0,0,0,0,0,0
50살인데 한명도 없음,0,0,0,0,0,0,0,1,0,0
와 시발 진짜 세상 좆같이 돌아가네 어휴 씨발욕밖에 안나온닺진짜,0,0,0,0,0,0,1,0,0,0
목사님을 통하여 더 화합하고 단단하게 세워질 한국교회 기대하겠습니다.,0,0,0,0,0,0,0,1,0,0
저런애들은 무슬림 못되는거아니냐?,0,0,0,0,0,0,0,1,0,0
네다음여중생피떡갈비~네다음부산문재인지지율1위~네다음임금수준최하위머구~,0,0,0,1,0,0,0,0,0,0
맞노. 당연한건데 그땐 왜 몰랐지? 하고 스쳐지나가는 일이 많다이기.,0,0,0,0,0,0,0,1,0,0
오묘메 미친뇬들^^; 까벗겨도 뭐없는 뇬들이 꼭 즈지랄이야 미친 ㅋㅋ 박원순인 저게 뭐 대단한 축제라구 저걸 지지한대 말만 하지말구 퍼레이드 트럭이나 좀 바까바바봉고가 웬 지랄이야 증말 ^^;,1,0,0,0,0,0,0,0,1,0
나는 페미를 혐오한다 메갈쿵쾅이 멧퉤지년들 꺼져라,0,0,0,0,0,0,0,0,0,1
연관된것들은 우리쪽 의석수 줄어드는 한이 있더라도 모조리 날려버려야한다 우리가 남이가는 왜구들이나 외치는거지,0,1,0,0,0,0,0,0,0,0
맘충들 믹서기에 갈아넣고 싶노,0,0,0,0,0,0,0,0,0,1
목사되려면 뭐부터 시작하면되냐?,0,0,0,0,0,0,0,1,0,0
유일한 이자스민 업적(?)이라고 해야 하나?,0,0,0,0,0,0,0,1,0,0
돈크라이 듓 유아러 스트롱맨 개터졌놐ㅋㅋㅋㅋ,0,0,0,0,0,0,0,1,0,0
젠더 이슈 없다면서 20대 여성 세명 앉혀놓고 주변에 그런 20대 남성 없다고 하네; 투표 조작이라도 했다는건가 결과가 있는데,0,0,0,0,0,0,0,1,0,0
일본냄저가 죽인 여자보다 한남이 죽인 여자가 훨씬 많다. 오래 여자를 짓밟고 노예처럼 부리고 폭행 살해해온 좆병신은 한남인데 애먼 일본을 보지들까지 싸잡아 욕하고 부랄이노,0,0,0,0,0,0,0,0,0,1
근데 저거 공개하기전에6만명한테다 통보함? 개궁금하네ㅋㅋㅋㅋㅋ,0,0,0,0,0,0,0,1,0,0
역시 부산이 최고다부산 화이팅,0,0,0,0,0,0,0,1,0,0
진따새끼는 세종대왕 컴백해도 찐,0,0,0,0,0,0,1,0,0,0
폭동이야?,0,0,0,0,0,0,0,1,0,0
인민 사상검증도 아니고 충격적이다 좆같은 세상,0,0,0,0,0,0,1,0,0,0
성고재기 후장에 철근 박혔다는거 드립인 줄 알았노,0,0,0,0,0,0,1,0,1,0
우리 틀니충들도 건강틀니딱딱당 만들어라이기야,0,0,1,0,0,0,0,0,0,0
중국동포는 씨발 중국 짱깨지. 그좋은 중국 놔두고 왜 우리나라 와서 지랄들이냐.,0,1,0,0,0,0,0,0,0,0
한국교회가 먼저 선한 영향력으로 세상의 빛이되어 하나님의 영광이 되길 기도합니다,0,0,0,0,0,0,0,1,0,0
그래서 열심히 공부해서 직업이라도 업그레이드 시키려고 한다..,0,0,0,0,0,0,0,1,0,0
"개슬람이 미개해도 남녀관 하나는 본받아야한다. 여자는 순종적이여야 하고 방탕하지않으며, 문란하면 때려죽임",0,1,0,0,1,0,0,0,0,1
실제 투쟁보다 좆같이 허망한 약속을 믿은 것 그뿐이노,0,0,0,0,0,0,1,0,0,0
위아래 정하려고 애쓰는미개함은 인도인과 동급,0,1,0,0,0,0,0,0,0,0
꿀팁이노 그럼 칼은 빤쓰안에 넣어둬야겠노,0,0,0,0,0,0,0,1,0,0
부산시발개씹촌놈새끼들 냄새난다 ㅠㅠ,0,0,0,1,0,0,0,0,0,0
리뷰이벤트 입싸할께요,0,0,0,0,0,0,1,0,0,0
