문장,성소수자,인종국적,연령,지역,종교,기타혐오,악플욕설,clean,개인지칭,성별
땅값때문이다,0,0,0,0,0,0,0,1,0,0
호주 범죄자 후손 새끼들 주제에 고유한 문화 이지랄ㅋㅋㅋ,0,1,0,0,0,0,0,0,0,0
박근혜나 문제인이 대통령 된다고 당신 가정이 파탄날 일을 없습니다 하지만 된장녀가 당신 가정을 파탄낼 확률은 100%입니다 성 고재기,0,0,0,0,0,0,0,0,1,1
이관하면 니동네 경찰서에서 조사받는다,0,0,0,0,0,0,0,1,0,0
병신이네지네똥남아새끼들은가족끼리ㅅㅅ해서다문화아니라고우길듯,0,1,0,0,0,0,0,0,0,0
저기서 남자친구를 여자친구로 바꾸면 제동이 민주화당하겠지?,0,0,0,0,0,1,0,0,1,0
88년에 세례 받은 천주교 신자임. 세례명은 다니엘.교황 개새끼,0,0,0,0,1,0,0,0,1,0
종교에 미치는거보면 참...이해가안되..혼자조용히 기도드려도될텐데...80대라...더럽고 추잡한 노인네,0,0,0,0,1,0,0,0,0,0
오묘메 미친뇬들^^; 까벗겨도 뭐없는 뇬들이 꼭 즈지랄이야 미친 ㅋㅋ 박원순인 저게 뭐 대단한 축제라구 저걸 지지한대 말만 하지말구 퍼레이드 트럭이나 좀 바까바바봉고가 웬 지랄이야 증말 ^^;,1,0,0,0,0,0,0,0,1,0
뭔개소리냐 저새끼가 비록 개슬람이긴 하지만 잘못한게 없는데 경찰이 헛좆질한건 맞잖아,0,0,0,0,1,0,0,0,0,0
억~~~~~~~,0,0,0,0,0,0,0,1,0,0
대구에선 스포츠다 이기야 ㄷㄷ,0,0,0,1,0,0,0,0,0,0
동남아는 중국이랑 먼데도 95%화교가 쥐고있는데바로옆 대한민국은 짱깨놈들?? 엥?그거 요리사아니냐? 이수준밖에못됨박정희 녹림화랑 화교탄압정책은 ㅆㅅㅌㅊ다,0,1,0,0,0,0,0,0,1,0
중권아 주둥이만 털지말고 페미 공부 좀 해라.. 대가리가 굳어서 이제 안돼? 니 별로 논리적이지도 않으니까 까불지말고 존나 우매하고 추하거든? 혐오발언 하면 안된다고 하는 자식이 소추 성애자냐 이 586 메갈리스트 틀딱 새기야,0,0,1,0,0,0,0,0,1,1
경상도에서 문재인칭찬하면 얼굴에 침뱉는다,0,0,0,1,0,0,0,0,1,0
레알 동남아년들 혐오스럽다 이자스민때문에 더심해짐. 이자스민 만나면 당장 쌍욕할듯,0,1,0,0,0,0,0,0,1,1
변태는 성소수자가 아닙니다. 의상도착증 환자입니다.,1,0,0,0,0,0,0,0,0,0
